Image_Link,Brand_Name,tiles_Description,Info1,Price_Per_SqFt,Price_Per_Box,Category 
https://dpy2z8n9cxui1.cloudfront.net/V000868/mrc-031-600x600-mm-moroccan-matt-finish-porcelain-floor-tile-ceramart-tiles/mrc-031-600x600-mm-moroccan-matt-finish-porcelain-floor-tile/1.png?width=240,Blue Berry,MRC_031 600x600 mm Moroccan Matt Finish Porcelain Floor Tile - 9 mm,Porcelain600x600 mm,68,1049,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V000843/6502-450x300-mm-bathroom-series-wall-tile-nandi-ceramic-tiles/6502-450x300-mm-bathroom-series-wall-tile/2.png?width=240,Cap,6502 L 450x300 mm Bathroom Series Glossy Finish Ceramic Wall Tile - 7 mm,Ceramic450x300 mm,40,342,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V001212/tibet-ivory-universal-ceramic-tiles/tibet-ivory/1.jpg?width=240,Lizzart,Tibet Ivory 1200x600 mm Matte Finish tile,1200x600 mm,89,1371,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V000868/century-series-solitery-dove-600x600-mm-high-definition-glazed-vitrified-wall-floor-tile-ceramart-tiles/century-series-solitery-dove-600x600-mm-high-definition-glazed-vitrified-wall-floor-tile/1.png?width=240,Century Cent Percent Tile,Century Solitery Dove 600x600 mm  Matte finish High Definition Glazed Vitrified Wall & Floor Tile -10 mm,Vitrified600x600 mm,61,942,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V000868/sr-910-step-900x300-mm-riser-900x200-mm-1-set-matte-finish-vitrified-tile-12-mm/sr-910/1.png?width=240,GT Tiles,SR-910 Step 900x300 mm Riser 900x200 mm Matte Finish Vitrified Tile - 9.5 mm (1 Set Include 2 Piece),Vitrified900x300 mm,80,768,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V001212/mo-01-25-4x25-4-mm-highlighter-mosaic-tile-tiles/mo-01-25-4x25-4-mm-highlighter-mosaic-tile/1.jpg?width=240,Dazzle Mosaic,MO 01 304.8 x 304.8 Highlighter Mosaic Tile,300x300 mm,1775,19520,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V001235/wd-284-300x300-mm-matte-finish-heavy-duty-gvt-parking-tile-10-mm/wd-284-vitrified/1.jpg?width=240,Redwood Ceramic,Wd-284 300x300 mm Matte Finish Heavy Duty GVT Parking Tile - 10 mm,Vitrified300x300 mm,51,392,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V000728/iris-core-subway-tile/pattern-0-iris-core-subway-tile/1.jpg?width=240,Subway Tiles,Iris Core 300x75 mm Ceramic Wall Subway Tile,Ceramic300x50 mm,58,1158,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V001240/fenix-light-1200x600-mm-high-gloss-finish-advanced-gvt-tile-12-mm-nucera-tiles-tiles/fenix-light-1200x600-mm-high-gloss-finish-advanced-gvt-tile-12-mm/1.png?width=240,Nucera Tiles,Fenix Light 1200x600 mm High Gloss Finish Advanced GVT Tile - 12 mm,Vitrified1200x600 mm,61,938,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V000868/barcelona-series-matanga-601-600x300-mm-glossy-finish-hd-digital-elevation-tile-ceramart-tiles/barcelona-series-matanga-601-600x300-mm-glossy-finish-hd-digital-elevation-tile/1.png?width=240,Barcelona,Matanga-601 Barcelona 600x300 mm Glossy Finish HD Digital Elevation Tile,600x300 mm,71,681,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V000440/claret-lush-prima-1200x600-mm-prime-gloss-finish-gvt-tile-10-mm/claret-lush-prima-1200x600-mm-prime-gloss-finish-gvt-tile-10-mm/1.png?width=240,Sonex Tiles,Claret Lush Prima 1200x600 mm Prime Gloss Finish GVT Tile - 9.5 mm,Vitrified1200x600 mm,71,1092,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V000868/sr-903-step-900x300-mm-riser-900x200-mm-1-set-matte-finish-vitrified-tile-12-mm/sr-903/1.png?width=240,GT Tiles,SR-903 Step 900x300 mm Riser 900x200 mm Matte Finish Vitrified Tile - 9.5 mm (1 Set Include 2 Piece),Vitrified900x300 mm,41,351,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V001236/33884-glossy-elevation-450x300-mm-matte-finish-ceramic-tile-5-mm/33884-glossy-elevation-450x300-mm-matte-finish-ceramic-tile-5-mm/1.png?width=240,Tuscania Ceramiche,33884 Glossy Elevation 450x300 mm Matte Finish Ceramic Tile - 5 mm,Ceramic450x300 mm,42,363,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V000868/barcelona-series-palani-604-600x300-mm-glossy-finish-hd-digital-elevation-tile-ceramart-tiles/barcelona-series-palani-604-600x300-mm-glossy-finish-hd-digital-elevation-tile/1.png?width=240,Barcelona,Palani-604 Barcelona 600x300 mm Glossy Finish HD Digital Elevation Tile,600x300 mm,71,681,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V000548/mozart-mushroom-600x600-mm-matte-finish-roman-punch-full-body-tile-reycera-tiles/mozart-mushroom-600x600-mm-matte-finish-roman-punch-full-body-tile/1.jpg?width=240,Rey +,Mozart Mushroom 600x600 mm Matte Finish Roman Punch Full Body Floor and Wall Tile - 9 mm,Vitrified600x600 mm,102,1578,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V001212/dz-14-25-4x25-4-mm-highlighter-mosaic-tile-tiles/dz-14-25-4x25-4-mm-highlighter-mosaic-tile/1.jpg?width=240,Dazzle Mosaic,DZ 14 304.8 x 304.8 Highlighter Mosaic Tile,300x300 mm,1034,22737,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V000548/mozart-sky-1200x600-mm-lenza-punch-full-body-tile-reycera-tiles/mozart-sky-1200x600-mm-lenza-punch-full-body-tile/1.png?width=240,Rey +,Mozart Sky 1200x600 mm Matte Finish Full Body Wall Tile - 9 mm,Vitrified1200x600 mm,203,3133,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V000748/emporio-02-450x300-mm-matte-finish-high-depth-elevation-ceramic-tile/emporio-02-high-depth-elevation/1.jpg?width=240,Stonis,Emporio-02 450x300 mm Matte Finish High Depth Elevation Ceramic Tile - 8 mm,Ceramic450x300 mm,58,422,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V000843/qsec-series-novella-bronze-glossy-finish-premium-grade-vitrified-wall-tile-nandi-ceramic-tiles/qsec-series-novella-bronze-3d-diamond-346x300-mm-glossy-finish-premium-grade-vitrified-wall-tile/1.png?width=240,QSEC,Novella Bronze 3D Diamond 346x300 mm Glossy Finish Premium Grade Vitrified Wall Tile - 10 mm,Vitrified350x300 mm,389,4339,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V001212/dz-04-317-5x266-7-mm-highlighter-mosaic-tile-tiles/dz-04-317-5x266-7-mm-highlighter-mosaic-tile/1.jpg?width=240,Dazzle Mosaic,DZ 04 304.8 x 304.8 Highlighter Mosaic Tile,300x300 mm,1034,22737,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V001281/541-kitchen-series/541-hl-1-kitchen-series/1.png?width=240,Rextron Ceramic,541 HL-1 450x300 mm Glossy Finish Kitchen Series Ceramic Tile 6 mm,Ceramic450x300 mm,41,351,Tiles
